token,type,score,cummulative percentage,english
elkövet,VERB,3,94.18,"1 - (transitive) to commit, to perpetrate, to make (to be guilty of, or responsible for a crime or a mistake)##2 - (transitive) to do (to do one's best)"
hazugság,NOUN,3,94.18,1 - lie (an intentional falsehood)
mindaz,PRON,3,94.19,
tineki,PRON,3,94.2,
őneki,PRON,3,94.2,
nézve,ADP,3,94.21,
hopp,INTJ,3,94.22,
tiéi,PRON,3,94.22,
hűtlen,ADJ,3,94.23,"1 - unfaithful, disloyal"
ahonnan,ADV,3,94.24,1 - (relative) from where
fel-alá,ADV,3,94.24,
csodálkozó,ADJ,3,94.25,
földi,ADJ,3,94.26,"1 - ground- (growing in the earth)##2 - earthly, worldly"
tisztelet,NOUN,3,94.26,"1 - respect, regard, esteem##2 - honor, honour, reputation, veneration, worship"
kr,NOUN,3,94.27,
x.,PUNCT,3,94.28,
lábujjhegy,NOUN,3,94.28,1 - tiptoe (tip of toe)
egy-más,PRON,3,94.29,
egyiknek-másik,PRON,3,94.3,
önmaga,PRON,3,94.3,
ugye,INTJ,3,94.31,
nagyságos,ADJ,3,94.32,"1 - (archaic or historical) great, honorable (usually preceding asszony (“lady, madam”), úr (“gentleman, sir”), or the type of notability)"
tratá,X,3,94.32,
puff,INTJ,3,94.33,
asztalos,NOUN,3,94.34,"1 - joiner, carpenter (buildings), cabinetmaker (furniture)"
hahá,INTJ,3,94.34,
pfuj,INTJ,3,94.35,
tetőled,X,3,94.36,
amilyen,PRON,3,94.37,
ooo,PUNCT,3,94.37,
fest,VERB,2,94.38,1 - (transitive) to paint (something a colour: -ra/-re)##2 - (transitive) to dye##3 - (intransitive) to look in some way
természetrajzi,ADJ,2,94.38,
csakugyan,ADV,2,94.39,"1 - really, indeed"
pont,ADV,2,94.39,"1 - exactly, just, precisely"
tárva-nyitva,ADV,2,94.39,
magyar,ADJ,2,94.4,"1 - Hungarian, Magyar (of, from, or relating to Hungary, its people or its language)"
verkli,NOUN,2,94.4,
valahogyan,ADV,2,94.41,1 - somehow
szomszédos,ADJ,2,94.41,"1 - adjacent, neighbouring"
távol,NOUN,2,94.42,1 - distance (remote place)##2 - distance (amount of space between two points)
halad,VERB,2,94.42,"1 - (intransitive, of being, object or phenomenon) to proceed, progress, advance (to move, pass, or go forward or onward)"
kicsiny,ADJ,2,94.43,"1 - (literary) small, minuscule"
bőr,NOUN,2,94.43,"1 - skin (outer protective layer of the body of any animal, including of a human)##2 - leather (tough material produced from the skin of animals)##3 - (in compound words) cutaneous"
helyettesít,VERB,2,94.44,"1 - (ambitransitive) to substitute for someone, sub, cover, fill in, replace, stand in (to act as a replacement for someone)##2 - (transitive) to substitute, replace (to use in place of something else, with the same function) (-val/-vel)##3 - (transitive, mathematics) to substitute##4 - (transitive) to supersede (to take the place of)"
hón,NOUN,2,94.44,"1 - (with a possessive suffix): armpit, underarm, (under) someone’s arm"
mintegy,ADV,2,94.44,"1 - (literary) about, around, approximately, or so, some, something like##2 - (literary) as if, so to speak, as it were"
padsor,NOUN,2,94.45,
kellő,ADJ,2,94.45,"1 - required, adequate, due, right, proper"
kitömött,ADJ,2,94.46,
rém,NOUN,2,94.46,"1 - spook, ghast (a scary, repulsive, hostile specter or phantom)##2 - (figuratively) specter (a threatening mental image)##3 - menace, terror (a bothersome person who frightens others)"
kandikál,VERB,2,94.47
sietés,NOUN,2,94.47,
keveredik,VERB,2,94.48,"1 - (intransitive) to mix, mingle, get into (into something -ba/-be)"
jelentő,ADJ,2,94.48,
látvány,NOUN,2,94.49,"1 - spectacle, sight, view##2 - scenery"
bolt,NOUN,2,94.49,"1 - shop (GB), store (US) (especially applied to relatively small shops in the countryside)##2 - (folksy) synonym of élelmiszerbolt, közért (“grocery store”).##3 - (informal) deal (a particular instance of trading [buying or selling; exchanging; bartering]; a transaction)##4 - vault (arched ceiling)"
keverék,NOUN,2,94.49,1 - mixture
lévén,ADV,2,94.5,
szemét,NOUN,2,94.5,"1 - sweepings, litter (collectively, items discarded on the ground)##2 - garbage, rubbish, waste, trash##3 - (colloquial) bastard####1 - accusative of szeme"
légy,NOUN,2,94.51,1 - fly (insect)
emelkedik,VERB,2,94.51,1 - (intransitive) to rise
üzleti,ADJ,2,94.52,1 - business (related to business)
üzlet,NOUN,2,94.52,"1 - business (commercial activity in general)##2 - deal (a particular instance of buying or selling)##3 - shop, store (establishment that sells goods; especially in urban setting)"
teli,ADV,2,94.53,"1 - synonym of tele (“full”), normally with explicit or implied van"
vonogat,VERB,2,94.53
kedélyes,ADJ,2,94.53,"1 - jovial, merry, convivial"
sejtve,ADV,2,94.54,
tintás,ADJ,2,94.54,
fejezve,ADV,2,94.55,
csinos,ADJ,2,94.55,"1 - pretty, neat, comely, good-looking (pleasing or attractive to the eye)##2 - (colloquial, of a sum or wealth) considerable, generous, tidy"
kés,NOUN,2,94.56,1 - knife
keserű,ADJ,2,94.56,"1 - bitter (having an acrid taste)##2 - (figuratively) bitter (cynical, disappointing)"
bárdd,NOUN,2,94.57,
bíró,NOUN,2,94.57,"1 - judge (public judicial official)##2 - (sports) referee, umpire (official who makes sure the rules are followed during a game)"
férfiasság,NOUN,2,94.58,"1 - masculinity, virility##2 - (euphemistic) manhood (the male genitals)"
nyilvánít,VERB,2,94.58,"1 - (transitive) to manifest, to make evident, express, voice (opinion)##2 - (transitive) to declare, pronounce, certify (to be something, as something: -nak/-nek or -vá/-vé)"
savanyú,ADJ,2,94.58,"1 - sour##2 - (figurative, derogatory, of a person's face) dour, gloomy, sullen"
csatlakozik,VERB,2,94.59,1 - (intransitive) to join someone or something (followed by -hoz/-hez/-höz)
alkalmas,ADJ,2,94.59,"1 - suitable, suited, fitting (for a task: -ra/-re; for a post: -nak/-nek)##2 - (after a numeral) -session, -visit, -trip (valid for a given number of occasions)"
elver,VERB,2,94.6,"1 - (transitive) to thrash, whack, trounce, to defeat utterly##2 - (transitive) to thrash, beat up, to beat mercilessly##3 - (transitive) to squander, waste, throw away (money, wealth)##4 - (transitive) to drive off violently##5 - (transitive, archaic) to play (to produce music using a musical instrument)##6 - (transitive, dated) to pass (time) while being bored, to kill time##7 - (of a clock) to strike, announce (an hour of the day)##8 - (transitive, slightly literary) to appease, allay, quench, still, stop, end (dream, thirst, hunger etc.)##9 - (transitive, of hail or rain) to destroy##10 - (transitive, of the sun or wind) to disperse, drive away##11 - (transitive, of wind or waves) to propel, blow away##12 - (transitive, dialectal) to thresh (to separate the grain from the straw or husks)"
eleinte,ADV,2,94.6,"1 - initially, at first, in the beginning"
ebédel,VERB,2,94.61,"1 - (ambitransitive) to dine, lunch"
szeretet,NOUN,2,94.61,"1 - affection, love"
mosolyogva,ADV,2,94.62,
pinceablak,NOUN,2,94.62,1 - cellar window
érezve,ADV,2,94.63,
ágyú,NOUN,2,94.63,1 - cannon
boldogság,NOUN,2,94.63,1 - happiness
róna,NOUN,2,94.64,1 - plain (an expanse of land with relatively low relief)
végtelen,ADJ,2,94.64,"1 - unlimited (limitless or without bounds; unrestricted), endless (without end), infinite"
szabadság,NOUN,2,94.65,"1 - liberty, freedom (the state of being free, of not being imprisoned or enslaved)##2 - holiday, vacation (a stretch of leisure time away from work or duty and devoted to rest or pleasure)##3 - (rare) liberty (a breach of social convention)"
düledező,ADJ,2,94.65,
telis-tele,ADV,2,94.66,"1 - full, to the brim, packed tight (to the point of being full, almost overflowing with something or with people; used with -val/-vel)"
eligazodik,VERB,2,94.66,1 - (intransitive) to find one's way (in something: -ban/-ben)##2 - (intransitive) to know one's way around
karcsú,ADJ,2,94.67,"1 - slim, slender"
ahelyett,ADV,2,94.67,1 - instead of
sík,ADJ,2,94.68,1 - flat
amerikai,ADJ,2,94.68,"1 - American (of, from, or pertaining to the Americas)##2 - American (of, from, or pertaining to the United States of America, its people or its culture)"
aznap,ADV,2,94.68,"1 - the same day, (on) that day"
száz,ADV,2,94.69,
minduntalan,ADV,2,94.69,"1 - time after time, perpetually (many times in a row, again and again)##2 - at every turn, perpetually (unnecessarily at every opportunity)##3 - (rare) incessantly, constantly, continually"
híres,ADJ,2,94.7,"1 - famous, well-known"
hasábfa,NOUN,2,94.7,
feleút,NOUN,2,94.71,
ijedtében,NOUN,2,94.71,
hanyatt-homlok,ADV,2,94.72,"1 - headlong, helter-skelter (rashly; precipitately; without deliberation, in haste, hastily)##2 - head over heels (tumbling upside down in the air)"
bő,ADJ,2,94.72,"1 - roomy, loose##2 - plentiful, abundant"
megvallva,ADV,2,94.72,
pompás,ADJ,2,94.73,"1 - splendid, magnificent, sumptuous, showy, pompous"
feszes,ADJ,2,94.73,"1 - tight, taut, stiff, tense"
visszakap,VERB,2,94.74,"**KAP**1 - (transitive) to get, to receive (from someone: -tól/-től; as something: -ul/-ül)##2 - (intransitive) to snatch, to grab (expressing a sudden movement) (with -hoz/-hez/-höz, -ba/-be, felé, or után)##3 - (transitive, dialectal) to find"
részben,ADV,2,94.74,"1 - partly, partially, in part, to an extent"
hátha,ADV,2,94.75,"1 - wish, if only##2 - what if, perhaps, hopefully, hoping for, just in case"
bujkál,VERB,2,94.75
szögezve,ADV,2,94.76,
kíséret,NOUN,2,94.76,"1 - escort, entourage, suite##2 - (music) accompaniment"
római,ADJ,2,94.77,1 - Roman (of or from Rome)
csendes,ADJ,2,94.77,"1 - silent, quiet"
teljesít,VERB,2,94.77,1 - (transitive) to accomplish
majdhogy,ADV,2,94.78,
piszkos,ADJ,2,94.78,1 - dirty
szorítva,ADV,2,94.79,
remegő,ADJ,2,94.79,
mégse,ADV,2,94.8,
kitüntet,VERB,2,94.8,"1 - (transitive) to recognize, to honour with (to give an award), to bestow (to present something to someone as a gift or honour)"
engedelmes,ADJ,2,94.81,1 - obedient
udvariasság,NOUN,2,94.81,1 - courtesy
tiszta,NOUN,2,94.82,1 - clean change of clothes##2 - (rare) a morally clean person or object##3 - (in set phrases) clarity (the fact that something is cleared up and clean)
gyorsírási,ADJ,2,94.82,
bátr,ADJ,2,94.82,
elkésik,VERB,2,94.83,"1 - (intransitive, with -ból/-ből, -ról/-ről) to be late for something (to arrive late)##2 - (intransitive, with -val/-vel) to be late with something (to do or finish something later than expected and this negatively impacts the result)"
reggel,ADV,2,94.83,"1 - in the morning (approx. between 6 and 9 a.m., depending on wakeup time, working time, start of daylight etc.)"
dél,NOUN,2,94.84,"1 - noon##2 - (singular only) south, abbreviated as D"
reáliskola,NOUN,2,94.84,
nyugtalan,ADJ,2,94.85,"1 - anxious, nervous, worried, concerned, apprehensive (about someone or something: miatt)##2 - restless, troubled, hectic##3 - (of water) restless, rolling, ruffled, rough"
ijesztő,ADJ,2,94.85,1 - scary
vált,VERB,2,94.86,"1 - (transitive) to change, replace, exchange (to supply or substitute an equivalent for)##2 - (transitive) to change (to make something into something different)##3 - (transitive) to exchange, switch, trade (objects, words, etc.)##4 - (intransitive) to change, turn, become (-ra/-re)##5 - (transitive, intransitive) to follow, replace, succeed (to take the place of; to fulfill the end or office of)##6 - (transitive) to book (a ticket)##7 - (transitive, intransitive) to change (money) for smaller denominations##8 - (transitive, intransitive) to convert (money) into another currency##9 - (intransitive, colloquial, automotive) to shift gears (to change the gear in a motor vehicle)##10 - (intransitive, archaic) to turn (to change one's direction of travel)####1 - third-person plural indicative past indefinite of válik####1 - past participle of válik"
ahová,ADV,2,94.86,1 - alternative form of ahova
messzire,ADV,2,94.87,"1 - far, far away (at or to a great distance)"
merő,ADJ,2,94.87,"1 - (archaic) fixed, tight, tense, taut##2 - (attributively) mere, pure, downright, complete, sheer"
följebb,ADV,2,94.87,1 - alternative form of feljebb
eljut,VERB,2,94.88,"1 - (intransitive) to reach, to arrive at, to get to a certain place"
visszafojtott,ADJ,2,94.88,
macska,NOUN,2,94.89,1 - cat
bejut,VERB,2,94.89,"**JUT**1 - (intransitive) to get somewhere (to a location or a situation), to arrive##2 - (intransitive, figuratively) to arrive at, come to (a decision, an agreement, an understanding, a conclusion, or a result)##3 - (intransitive) to come by something (-hoz/-hez/-höz)##4 - (intransitive) to fall (to someone's lot), to be allotted to, to arrive through chance, fate, or inheritance, to be left to someone, to be given, afforded, granted to, bestowed on someone (-nak/-nek)"
színes,ADJ,2,94.9,"1 - colorful, colored (having a color other than white, black or gray)##2 - color (conveying the natural color of something, as opposed to shades of gray)##3 - (of skin color other than white) black, colored##4 - colorful (possessing prominent and varied colors)##5 - colorful (interesting, multifaceted, energetic, distinctive)##6 - (figuratively, archaic) pretentious, hypocritical##7 - (figuratively, literary, of speech) buttery, honeyed, obsequious (marked by insincere flattery)"
bosszankodik,VERB,2,94.9
mesterséges,ADJ,2,94.91,"1 - artificial, manmade"
bezzeg,ADV,2,94.91,"1 - sure enough, surely, needless to say, of course, there you go, you see, oh but… (expressing a reproachful or indignant attitude, expressing that something [i.e. an altered circumstance] creates (created or would create) a difference in the behavior or attitude of someone or the state of something)##2 - (regional) egad##3 - (as a first element of a compound) an often mentioned exemplar or model (i.e. of whom/which it is often said Ő/Az bezzeg... - But (s)he/it...; maybe not with the word bezzeg but in this sense)"
nő,VERB,2,94.91,"1 - (intransitive) to grow (to become larger, increase in magnitude; to develop, mature)##2 - (intransitive) to increase (of a quantity, etc.: to become larger or greater)"
indián,ADJ,2,94.92,1 - related to the aboriginal peoples of America
bot,NOUN,2,94.92,"1 - stick, staff##2 - walking stick, cane"
felnőtt,ADJ,2,94.93,"1 - grown-up, adult"
hadakozik,VERB,2,94.93
színházi,ADJ,2,94.94,"1 - theatrical, of or relating to theater, stage"
nád,NOUN,2,94.94,"1 - cane, reed (tall stiff perennial grass-like plants growing together in groups near water)"
nézve,ADV,2,94.95,
kavics,NOUN,2,94.95,"1 - pebble, gravel"
visszakerül,VERB,2,94.96,"**KERÜL**1 - (intransitive) to get (to somewhere, to a location or into a situation, with lative suffixes)##2 - (intransitive) to detour, to go on a byway (to go on a longer way than the shortest)##3 - (transitive) to avoid someone or something##4 - (intransitive) to take (effort etc.: -ba/-be)##5 - (intransitive) to cost (some amount: -ba/-be)##6 - (slightly formal, sometimes proscribed) to be …(e)d, to get …(e)d (part of a passive-forming structure, with the -ra/-re form of the verbal noun of the main verb; compare van/lesz + -va/-ve)"
hajolva,ADV,2,94.96,
diskurál,VERB,2,94.96,"1 - (intransitive) to talk, chat (to be engaged in informal conversation)"
kitűnő,ADJ,2,94.97,"1 - excellent, eminent, first-class##2 - (education) straight A##3 - (archaic) striking, exceptional, extraordinary"
eső,ADJ,2,94.97,
elérkezik,VERB,2,94.98,"1 - (intransitive, of time) to arrive, to come"
iménti,ADJ,2,94.98,
heve,NOUN,2,94.99,"1 - third-person singular single-possession possessive of hév, or alternatively, third-person singular single-possession possessive of hő"
sekély,ADJ,2,94.99,"1 - (of body of water) shallow, shoal (extending not far downward)##2 - (figuratively, derogatory) shallow, superficial"
iszik,VERB,2,95.0,"1 - (transitive, intransitive) to drink (to consume through the mouth)##2 - (intransitive) to drink (to consume alcoholic beverages)"
sáros,ADJ,2,95.0,"1 - muddy, mudded (covered or splashed with mud)"
idáig,ADV,2,95.01,
fütyül,VERB,2,95.01,"1 - (ambitransitive) to whistle##2 - (intransitive, figurative) not to care (about something: -ra/-re)"
